Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
5787991,MALARIA_EST_MORTALITY,COUNTRY,SAU,EMR,Eastern Mediterranean,YEAR,2006,,,,,,,,,0 [0-0],0,0,0,,2024-12-10T17:44:48Z,2006,2006-01-01,2006-12-31
5794960,MALARIA_EST_MORTALITY,COUNTRY,BTN,SEAR,South-East Asia,YEAR,2016,,,,,,,,,0 [0-0],0,0,0,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
5841989,MALARIA_EST_MORTALITY,COUNTRY,LKA,SEAR,South-East Asia,YEAR,2007,,,,,,,,,0.02 [0.02-0.02],0.02122,0.02122,0.02122,,2024-12-10T17:44:48Z,2007,2007-01-01,2007-12-31
5847830,MALARIA_EST_MORTALITY,COUNTRY,BEN,AFR,Africa,YEAR,2019,,,,,,,,,84.33 [74.14-95.84],84.32629,74.14302,95.83747,,2024-12-10T17:44:48Z,2019,2019-01-01,2019-12-31
5881342,MALARIA_EST_MORTALITY,COUNTRY,SWZ,AFR,Africa,YEAR,2004,,,,,,,,,9.32 [9.32-9.32],9.3183,9.3183,9.3183,,2024-12-10T17:44:48Z,2004,2004-01-01,2004-12-31
5882344,MALARIA_EST_MORTALITY,GLOBAL,GLOBAL,,,YEAR,2020,,,,,,,,,14.85 [13.81-17.57],14.85274,13.8129,17.56667,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
5907857,MALARIA_EST_MORTALITY,COUNTRY,KOR,WPR,Western Pacific,YEAR,2004,,,,,,,,,0 [0-0],0,0,0,,2024-12-10T17:44:48Z,2004,2004-01-01,2004-12-31
5908072,MALARIA_EST_MORTALITY,GLOBAL,GLOBAL,,,YEAR,2022,,,,,,,,,13.96 [12.93-16.90],13.96355,12.93044,16.89764,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
5908085,MALARIA_EST_MORTALITY,COUNTRY,HTI,AMR,Americas,YEAR,2006,,,,,,,,,2.51 [0.95-5.03],2.51389,0.94726,5.02808,,2024-12-10T17:44:48Z,2006,2006-01-01,2006-12-31
5929039,MALARIA_EST_MORTALITY,COUNTRY,ARM,EUR,Europe,YEAR,2012,,,,,,,,,0 [0-0],0,0,0,,2024-12-10T17:44:48Z,2012,2012-01-01,2012-12-31
5935993,MALARIA_EST_MORTALITY,COUNTRY,ZWE,AFR,Africa,YEAR,2004,,,,,,,,,26.26 [4.84-76.15],26.26001,4.8371,76.15248,,2024-12-10T17:44:48Z,2004,2004-01-01,2004-12-31
5961730,MALARIA_EST_MORTALITY,COUNTRY,GEO,EUR,Europe,YEAR,2012,,,,,,,,,0 [0-0],0,0,0,,2024-12-10T17:44:48Z,2012,2012-01-01,2012-12-31
5976903,MALARIA_EST_MORTALITY,COUNTRY,VEN,AMR,Americas,YEAR,2002,,,,,,,,,0.18 [0.18-0.18],0.18085,0.18085,0.18085,,2024-12-10T17:44:48Z,2002,2002-01-01,2002-12-31
6008768,MALARIA_EST_MORTALITY,COUNTRY,UGA,AFR,Africa,YEAR,2000,,,,,,,,,175.23 [166.39-184.64],175.23224,166.38636,184.63635,,2024-12-10T17:44:48Z,2000,2000-01-01,2000-12-31
6035763,MALARIA_EST_MORTALITY,COUNTRY,COM,AFR,Africa,YEAR,2000,,,,,,,,,16.60 [5.60-33.20],16.60203,5.59619,33.20406,,2024-12-10T17:44:48Z,2000,2000-01-01,2000-12-31
6036041,MALARIA_EST_MORTALITY,COUNTRY,YEM,EMR,Eastern Mediterranean,YEAR,2023,,,,,,,,,9.76 [3.86-19.05],9.75802,3.85735,19.05475,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
6036324,MALARIA_EST_MORTALITY,COUNTRY,UGA,AFR,Africa,YEAR,2023,,,,,,,,,32.77 [28.26-39.60],32.77048,28.26132,39.59591,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
6036358,MALARIA_EST_MORTALITY,COUNTRY,CPV,AFR,Africa,YEAR,2019,,,,,,,,,0 [0-0],0,0,0,,2024-12-10T17:44:48Z,2019,2019-01-01,2019-12-31
6037030,MALARIA_EST_MORTALITY,COUNTRY,TUR,EUR,Europe,YEAR,2003,,,,,,,,,0 [0-0],0,0,0,,2024-12-10T17:44:48Z,2003,2003-01-01,2003-12-31
6050218,MALARIA_EST_MORTALITY,COUNTRY,CMR,AFR,Africa,YEAR,2004,,,,,,,,,124.90 [116.55-133.73],124.897,116.55287,133.72877,,2024-12-10T17:44:48Z,2004,2004-01-01,2004-12-31
6050364,MALARIA_EST_MORTALITY,COUNTRY,KGZ,EUR,Europe,YEAR,2020,,,,,,,,,0 [0-0],0,0,0,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
6055943,MALARIA_EST_MORTALITY,COUNTRY,UGA,AFR,Africa,YEAR,2021,,,,,,,,,37.98 [30.37-50.32],37.98224,30.3718,50.3171,,2024-12-10T17:44:48Z,2021,2021-01-01,2021-12-31
6057153,MALARIA_EST_MORTALITY,COUNTRY,NAM,AFR,Africa,YEAR,2013,,,,,,,,,1.17,1.17454,,,,2024-12-10T17:44:48Z,2013,2013-01-01,2013-12-31
6063426,MALARIA_EST_MORTALITY,COUNTRY,UZB,EUR,Europe,YEAR,2004,,,,,,,,,0 [0-0],0,0,0,,2024-12-10T17:44:48Z,2004,2004-01-01,2004-12-31
6104080,MALARIA_EST_MORTALITY,COUNTRY,BFA,AFR,Africa,YEAR,2005,,,,,,,,,238.89 [222.14-257.04],238.89396,222.14131,257.03907,,2024-12-10T17:44:48Z,2005,2005-01-01,2005-12-31
6123095,MALARIA_EST_MORTALITY,COUNTRY,CHN,WPR,Western Pacific,YEAR,2017,,,,,,,,,0 [0-0],0,0,0,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
6124516,MALARIA_EST_MORTALITY,COUNTRY,ARG,AMR,Americas,YEAR,2009,,,,,,,,,0 [0-0],0,0,0,,2024-12-10T17:44:48Z,2009,2009-01-01,2009-12-31
6130178,MALARIA_EST_MORTALITY,COUNTRY,ETH,AFR,Africa,YEAR,2009,,,,,,,,,26.81 [6.84-82.21],26.80583,6.83873,82.2084,,2024-12-10T17:44:48Z,2009,2009-01-01,2009-12-31
6130519,MALARIA_EST_MORTALITY,COUNTRY,ZWE,AFR,Africa,YEAR,2008,,,,,,,,,17.28 [2.67-41.03],17.27689,2.66528,41.03236,,2024-12-10T17:44:48Z,2008,2008-01-01,2008-12-31
6143325,MALARIA_EST_MORTALITY,COUNTRY,ARM,EUR,Europe,YEAR,2001,,,,,,,,,0 [0-0],0,0,0,,2024-12-10T17:44:48Z,2001,2001-01-01,2001-12-31
6144332,MALARIA_EST_MORTALITY,COUNTRY,BEN,AFR,Africa,YEAR,2015,,,,,,,,,88.63 [81.26-96.90],88.63025,81.26273,96.9044,,2024-12-10T17:44:48Z,2015,2015-01-01,2015-12-31
6157911,MALARIA_EST_MORTALITY,REGION,AFR,,,YEAR,2012,,,,,,,,,71.34 [68.08-75.98],71.34157,68.07883,75.9841,,2024-12-10T17:44:48Z,2012,2012-01-01,2012-12-31
6163415,MALARIA_EST_MORTALITY,COUNTRY,LBR,AFR,Africa,YEAR,2002,,,,,,,,,173.61 [163.05-184.89],173.61487,163.04789,184.89192,,2024-12-10T17:44:48Z,2002,2002-01-01,2002-12-31
6163443,MALARIA_EST_MORTALITY,REGION,SEAR,,,YEAR,2004,,,,,,,,,2.66 [1.47-4.16],2.65753,1.47346,4.15919,,2024-12-10T17:44:48Z,2004,2004-01-01,2004-12-31
6172043,MALARIA_EST_MORTALITY,COUNTRY,AGO,AFR,Africa,YEAR,2002,,,,,,,,,125.18 [112.17-141.00],125.18108,112.16709,140.99982,,2024-12-10T17:44:48Z,2002,2002-01-01,2002-12-31
6177950,MALARIA_EST_MORTALITY,COUNTRY,CHN,WPR,Western Pacific,YEAR,2011,,,,,,,,,0.01 [0.01-0.01],0.0058,0.0058,0.0058,,2024-12-10T17:44:48Z,2011,2011-01-01,2011-12-31
6218746,MALARIA_EST_MORTALITY,COUNTRY,KAZ,EUR,Europe,YEAR,2011,,,,,,,,,0 [0-0],0,0,0,,2024-12-10T17:44:48Z,2011,2011-01-01,2011-12-31
6245132,MALARIA_EST_MORTALITY,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2015,,,,,,,,,0.61 [0.29-0.97],0.61129,0.28527,0.96642,,2024-12-10T17:44:48Z,2015,2015-01-01,2015-12-31
6258617,MALARIA_EST_MORTALITY,COUNTRY,KGZ,EUR,Europe,YEAR,2001,,,,,,,,,0 [0-0],0,0,0,,2024-12-10T17:44:48Z,2001,2001-01-01,2001-12-31
6270455,MALARIA_EST_MORTALITY,COUNTRY,MOZ,AFR,Africa,YEAR,2006,,,,,,,,,131.39 [121.55-142.11],131.38927,121.54662,142.11227,,2024-12-10T17:44:48Z,2006,2006-01-01,2006-12-31
6270653,MALARIA_EST_MORTALITY,COUNTRY,BEN,AFR,Africa,YEAR,2023,,,,,,,,,70.36 [55.55-89.76],70.35629,55.55227,89.75972,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
6270858,MALARIA_EST_MORTALITY,REGION,WPR,,,YEAR,2003,,,,,,,,,0.75 [0.40-1.27],0.74558,0.40442,1.26815,,2024-12-10T17:44:48Z,2003,2003-01-01,2003-12-31
6284424,MALARIA_EST_MORTALITY,COUNTRY,SEN,AFR,Africa,YEAR,2008,,,,,,,,,13.35 [5.24-25.04],13.35385,5.23697,25.03972,,2024-12-10T17:44:48Z,2008,2008-01-01,2008-12-31
6298285,MALARIA_EST_MORTALITY,COUNTRY,ARG,AMR,Americas,YEAR,2017,,,,,,,,,0 [0-0],0,0,0,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
6332506,MALARIA_EST_MORTALITY,COUNTRY,MRT,AFR,Africa,YEAR,2016,,,,,,,,,24.18 [6.97-56.26],24.17625,6.97392,56.25626,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
6344666,MALARIA_EST_MORTALITY,COUNTRY,SLE,AFR,Africa,YEAR,2006,,,,,,,,,193.10 [180.99-205.60],193.10278,180.99496,205.60174,,2024-12-10T17:44:48Z,2006,2006-01-01,2006-12-31
6346058,MALARIA_EST_MORTALITY,COUNTRY,MAR,EMR,Eastern Mediterranean,YEAR,2012,,,,,,,,,0 [0-0],0,0,0,,2024-12-10T17:44:48Z,2012,2012-01-01,2012-12-31
6366493,MALARIA_EST_MORTALITY,COUNTRY,GUY,AMR,Americas,YEAR,2010,,,,,,,,,6.94 [3.20-11.21],6.94022,3.20318,11.21112,,2024-12-10T17:44:48Z,2010,2010-01-01,2010-12-31
6378811,MALARIA_EST_MORTALITY,COUNTRY,RWA,AFR,Africa,YEAR,2014,,,,,,,,,26.04 [25.18-27.05],26.03663,25.18312,27.04853,,2024-12-10T17:44:48Z,2014,2014-01-01,2014-12-31
6379958,MALARIA_EST_MORTALITY,COUNTRY,LKA,SEAR,South-East Asia,YEAR,2011,,,,,,,,,0 [0-0],0,0,0,,2024-12-10T17:44:48Z,2011,2011-01-01,2011-12-31
6440916,MALARIA_EST_MORTALITY,COUNTRY,KEN,AFR,Africa,YEAR,2020,,,,,,,,,21.80 [20.77-23.05],21.80119,20.76705,23.05365,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
6460187,MALARIA_EST_MORTALITY,COUNTRY,COM,AFR,Africa,YEAR,2022,,,,,,,,,6.23 [2.88-9.71],6.23361,2.87705,9.71004,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
6466849,MALARIA_EST_MORTALITY,COUNTRY,PRY,AMR,Americas,YEAR,2018,,,,,,,,,0 [0-0],0,0,0,,2024-12-10T17:44:48Z,2018,2018-01-01,2018-12-31
6468051,MALARIA_EST_MORTALITY,COUNTRY,GMB,AFR,Africa,YEAR,2008,,,,,,,,,28.22 [27.23-29.38],28.22012,27.22994,29.37533,,2024-12-10T17:44:48Z,2008,2008-01-01,2008-12-31
6473720,MALARIA_EST_MORTALITY,COUNTRY,NIC,AMR,Americas,YEAR,2003,,,,,,,,,0.15 [0.15-0.15],0.15265,0.15265,0.15265,,2024-12-10T17:44:48Z,2003,2003-01-01,2003-12-31
6493634,MALARIA_EST_MORTALITY,COUNTRY,ARG,AMR,Americas,YEAR,2019,,,,,,,,,0 [0-0],0,0,0,,2024-12-10T17:44:48Z,2019,2019-01-01,2019-12-31
6501054,MALARIA_EST_MORTALITY,REGION,EMR,,,YEAR,2012,,,,,,,,,1.71 [1.11-2.49],1.70802,1.11218,2.49436,,2024-12-10T17:44:48Z,2012,2012-01-01,2012-12-31
6520548,MALARIA_EST_MORTALITY,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2021,,,,,,,,,0.09 [0.04-0.15],0.08855,0.03874,0.14943,,2024-12-10T17:44:48Z,2021,2021-01-01,2021-12-31
6540787,MALARIA_EST_MORTALITY,COUNTRY,KGZ,EUR,Europe,YEAR,2016,,,,,,,,,0 [0-0],0,0,0,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
6555018,MALARIA_EST_MORTALITY,COUNTRY,LKA,SEAR,South-East Asia,YEAR,2012,,,,,,,,,0 [0-0],0,0,0,,2024-12-10T17:44:48Z,2012,2012-01-01,2012-12-31
6561895,MALARIA_EST_MORTALITY,COUNTRY,GUF,AMR,Americas,YEAR,2003,,,,,,,,,4.88 [4.88-4.88],4.88248,4.88248,4.88248,,2024-12-10T17:44:48Z,2003,2003-01-01,2003-12-31
6568865,MALARIA_EST_MORTALITY,COUNTRY,HTI,AMR,Americas,YEAR,2012,,,,,,,,,1.86 [0.72-3.66],1.85627,0.7225,3.65696,,2024-12-10T17:44:48Z,2012,2012-01-01,2012-12-31
6574692,MALARIA_EST_MORTALITY,COUNTRY,MOZ,AFR,Africa,YEAR,2002,,,,,,,,,214.22 [199.25-230.78],214.21709,199.24742,230.77972,,2024-12-10T17:44:48Z,2002,2002-01-01,2002-12-31
6588142,MALARIA_EST_MORTALITY,COUNTRY,DZA,AFR,Africa,YEAR,2020,,,,,,,,,0 [0-0],0,0,0,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
6594356,MALARIA_EST_MORTALITY,COUNTRY,BDI,AFR,Africa,YEAR,2009,,,,,,,,,52.25 [48.96-55.93],52.24838,48.9626,55.92533,,2024-12-10T17:44:48Z,2009,2009-01-01,2009-12-31
6595040,MALARIA_EST_MORTALITY,COUNTRY,PNG,WPR,Western Pacific,YEAR,2002,,,,,,,,,44.48 [11.07-96.44],44.48006,11.07317,96.4407,,2024-12-10T17:44:48Z,2002,2002-01-01,2002-12-31
6602396,MALARIA_EST_MORTALITY,COUNTRY,MRT,AFR,Africa,YEAR,2021,,,,,,,,,10.54 [2.81-24.39],10.53882,2.80894,24.394,,2024-12-10T17:44:48Z,2021,2021-01-01,2021-12-31
